Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2007-2008,Ararat Rural City Council,Grampians Central West ,1842.0,806.0,746.0,0.0,0.0,2648.0,746.0
2007-2008,Ballarat City Council,Grampians Central West ,17682.0,9484.0,7967.0,0.0,0.0,27166.0,7967.0
2007-2008,Banyule City Council,Metropolitan ,19131.0,15832.0,14382.0,8137.0,8137.0,43100.0,22519.0
2007-2008,Bass Coast Shire Council,Gippsland ,6035.0,3451.0,3000.8999,0.0,0.0,9486.0,3000.8999
2007-2008,Baw Baw Shire Council,Gippsland ,6162.0,3267.73,2763.1001,2350.0,2350.0,11779.73,5113.1001
2007-2008,Bayside City Council,Metropolitan ,19500.0,13374.0,12964.0,6881.0,6881.0,39755.0,19845.0
2007-2008,Benalla Rural City Council,North East ,3268.0,1365.15,1195.5,0.0,0.0,4633.15,1195.5
2007-2008,Boroondara City Council,Metropolitan ,36857.0,24259.9004,21859.9004,13362.0,13362.0,74478.9004,35221.9004
2007-2008,Brimbank City Council,Metropolitan ,36622.0,17524.0,14843.0,6760.8101,6760.8101,60906.8101,21603.8101
2007-2008,Buloke Shire Council,Loddon Mallee ,1806.2939,790.2,728.3,0.0,0.0,2596.4939,728.3
2007-2008,Campaspe Shire Council,Goulburn Valley ,8168.0,3865.96,3499.26,450.0,430.0,12483.96,3929.26
2007-2008,Cardinia Shire Council,Metropolitan ,13100.7598,6152.6699,5377.73,2629.1001,2629.1001,21882.5298,8006.830099999999
2007-2008,Casey City Council,Metropolitan ,41530.0,30179.0,27674.1406,22500.0,22500.0,94209.0,50174.1406
2007-2008,Central Goldfields Shire Council,Grampians Central West ,2350.0,598.7,547.0,80.0,80.0,3028.7,627.0
2007-2008,Colac Otway Shire Council,Barwon South West ,4000.0,2268.9099,2160.5901,1000.0,1000.0,7268.909900000001,3160.5901
2007-2008,Corangamite Shire Council,Barwon South West ,2408.0,760.74,707.44,700.0,700.0,3868.74,1407.44
2007-2008,Darebin City Council,Metropolitan ,25169.0,15617.0,13551.0,7930.0,7930.0,48716.0,21481.0
2007-2008,East Gippsland Shire Council,Gippsland ,7310.96,4300.75,3467.6599,4000.0,4000.0,15611.71,7467.659900000001
2007-2008,Frankston City Council,Metropolitan ,21080.0,17498.1992,15826.4004,7853.0,7853.0,46431.1992,23679.4004
2007-2008,Gannawarra Shire Council,Loddon Mallee ,2206.0,1915.0,1741.0,0.0,0.0,4121.0,1741.0
2007-2008,Glen Eira City Council,Metropolitan ,35396.0,14532.0,13805.4004,3413.0,3413.0,53341.0,17218.4004
2007-2008,Glenelg Shire Council,Barwon South West ,2512.6799,2031.46,1360.38,0.0,0.0,4544.1399,1360.38
2007-2008,Golden Plains Shire Council,Grampians Central West ,4560.0,1011.94,936.04,0.0,0.0,5571.9400000000005,936.04
2007-2008,Greater Bendigo City Council,Loddon Mallee ,25033.0,9476.0,8555.0,0.0,0.0,34509.0,8555.0
2007-2008,Greater Dandenong City Council,Metropolitan ,27150.0996,12146.0,10931.4004,12729.4004,12729.4004,52025.5,23660.8008
2007-2008,Greater Geelong City Council,Barwon South West ,35493.0,27888.4004,25794.0996,26277.0,26277.0,89658.4004,52071.0996
2007-2008,Greater Shepparton City Council,Goulburn Valley ,12071.0,7079.1499,6385.7998,4569.0,4541.0,23719.1499,10926.7998
2007-2008,Hepburn Shire Council,Grampians Central West ,1815.0,1548.0,1281.6,0.0,0.0,3363.0,1281.6
2007-2008,Hindmarsh Shire Council,Grampians Central West ,958.5,367.0,325.0,0.0,0.0,1325.5,325.0
2007-2008,Hobsons Bay City Council,Metropolitan ,18647.1602,10189.1797,9873.6104,3332.3,3332.3,32168.6399,13205.9104
2007-2008,Horsham Rural City Council,Grampians Central West ,5022.1001,1331.53,1157.13,0.0,0.0,6353.630099999999,1157.13
2007-2008,Hume City Council,Metropolitan ,32157.0,16006.0,13666.0,2989.0,2989.0,51152.0,16655.0
2007-2008,Indigo Shire Council,North East ,2626.0,1149.1,1119.1,270.7,270.7,4045.8,1389.8
2007-2008,Kingston City Council,Metropolitan ,27526.0,17296.5,16137.5996,10804.9,10778.5,55627.4,26916.0996
2007-2008,Knox City Council,Metropolitan ,26381.0,18056.0,17220.0,13654.0,13654.0,58091.0,30874.0
2007-2008,Latrobe City Council,Gippsland ,12940.0,7593.73,6439.8301,8993.0,8993.0,29526.73,15432.8301
2007-2008,Loddon Shire Council,Loddon Mallee ,1375.0,732.0,678.0,0.0,0.0,2107.0,678.0
2007-2008,Macedon Ranges Shire Council,Loddon Mallee ,6230.2402,4222.2002,3800.0,0.0,0.0,10452.4404,3800.0
2007-2008,Manningham City Council,Metropolitan ,20962.0195,15160.1299,12220.9404,12958.7803,12958.7803,49080.9297,25179.720699999998
2007-2008,Mansfield Shire Council,North East ,2500.0,919.08,813.72,0.0,0.0,3419.08,813.72
2007-2008,Maribyrnong City Council,Metropolitan ,16885.4395,7347.0098,6027.77,142.5,142.5,24374.9493,6170.27
2007-2008,Maroondah City Council,Metropolitan ,18184.0,12876.5098,12232.6904,10661.5,10661.5,41722.0098,22894.1904
2007-2008,Melbourne City Council,Metropolitan ,20146.0,7136.0,6514.1001,29.64,29.6,27311.64,6543.7001
2007-2008,Melton Shire Council,Metropolitan ,16429.0,8241.1006,8066.5498,2956.0,2956.0,27626.100599999998,11022.5498
2007-2008,Mildura Rural City Council,Loddon Mallee ,9036.0801,3937.002,2740.842,0.0,0.0,12973.0821,2740.842
2007-2008,Mitchell Shire Council,Goulburn Valley ,5367.3501,3174.3,2876.03,0.0,0.0,8541.650099999999,2876.03
2007-2008,Moira Shire Council,Goulburn Valley ,4318.0,2961.7,2663.8,0.0,0.0,7279.7,2663.8
2007-2008,Monash City Council,Metropolitan ,27135.0,18738.5801,16883.4609,17124.0,17124.0,62997.5801,34007.4609
2007-2008,Moonee Valley City Council,Metropolitan ,28832.0,13092.0,11560.0,8778.0,8778.0,50702.0,20338.0
2007-2008,Moorabool Shire Council,Grampians Central West ,4477.0,2522.1201,2403.72,0.0,0.0,6999.1201,2403.72
2007-2008,Moreland City Council,Metropolitan ,27677.0,16724.9609,13496.21,6366.0,6366.0,50767.9609,19862.21
2007-2008,Mornington Peninsula Shire Council,Metropolitan ,25000.0,22526.0,20274.0,224.0,224.0,47750.0,20498.0
2007-2008,Mount Alexander Shire Council,Loddon Mallee ,3101.26,1404.17,1333.97,0.0,0.0,4505.43,1333.97
2007-2008,Moyne Shire Council,Barwon South West ,1500.0,802.72,750.0,1560.0,0.0,3862.7200000000003,750.0
2007-2008,Murrindindi Shire Council,Goulburn Valley ,2450.0,1303.0,1225.0,0.0,0.0,3753.0,1225.0
2007-2008,Nillumbik Shire Council,Metropolitan ,5671.2402,8813.0,8108.0,5774.0,4908.0,20258.2402,13016.0
2007-2008,Northern Grampians Shire Council,Grampians Central West ,4103.3101,1871.52,1160.34,0.0,0.0,5974.830099999999,1160.34
2007-2008,Port Phillip City Council,Metropolitan ,19886.0,12200.0,11468.0,0.0,0.0,32086.0,11468.0
2007-2008,Pyrenees Shire Council,Grampians Central West ,880.0,395.88,273.8,0.0,0.0,1275.88,273.8
2007-2008,Queenscliffe Borough Council,Barwon South West ,1160.0,477.6,441.78,67.2,67.2,1704.8000000000002,508.97999999999996
2007-2008,South Gippsland Shire Council,Gippsland ,3612.5,1840.35,1693.12,0.0,0.0,5452.85,1693.12
2007-2008,Southern Grampians Shire Council,Barwon South West ,2076.0,941.0,886.0,0.0,0.0,3017.0,886.0
2007-2008,Stonnington City Council,Metropolitan ,23474.0,13065.0,12617.0,2236.0,2236.0,38775.0,14853.0
2007-2008,Strathbogie Shire Council,Goulburn Valley ,1906.0,1007.3,907.94,0.0,0.0,2913.3,907.94
2007-2008,Surf Coast Shire Council,Barwon South West ,4622.0,3799.9099,3514.0,1992.0,1992.0,10413.9099,5506.0
2007-2008,Swan Hill Rural City Council,Loddon Mallee ,3694.0,2522.05,2236.0,0.0,0.0,6216.05,2236.0
2007-2008,Towong Shire Council,North East ,1206.0,485.1,430.6,75.0,75.0,1766.1,505.6
2007-2008,Wangaratta Rural City Council,North East ,6450.0,3241.7,2831.8999,0.0,0.0,9691.7,2831.8999
2007-2008,Warrnambool City Council,Barwon South West ,5776.8198,5052.8198,4502.0601,0.0,0.0,10829.6396,4502.0601
2007-2008,Wellington Shire Council,Gippsland ,6155.0,3543.4099,2793.8899,0.0,0.0,9698.4099,2793.8899
2007-2008,West Wimmera Shire Council,Grampians Central West ,980.0,306.0,290.0,0.0,0.0,1286.0,290.0
2007-2008,Whitehorse City Council,Metropolitan ,28057.0,19890.2207,18219.4395,5305.0,5305.0,53252.220700000005,23524.4395
2007-2008,Whittlesea City Council,Metropolitan ,29572.9805,14089.4805,12379.7998,2084.46,2084.46,45746.921,14464.2598
2007-2008,Wodonga City Council,North East ,7565.0,2870.2,2540.0,1686.0,1686.0,12121.2,4226.0
2007-2008,Wyndham City Council,Metropolitan ,25507.0,14266.5,13838.5,2522.0,2522.0,42295.5,16360.5
2007-2008,Yarra City Council,Metropolitan ,12441.0,9604.21,9148.9697,63.0,63.0,22108.21,9211.9697
2007-2008,Yarra Ranges Shire Council,Metropolitan ,25987.0,17169.25,13550.2402,1948.0,1948.0,45104.25,15498.2402
2007-2008,Yarriambiack Shire Council,Grampians Central West ,1992.0,604.73,591.93,0.0,0.0,2596.73,591.93
2008-2009,Alpine Shire Council,North East ,2240.7,1597.9,1182.4,0.0,0.0,3838.6,1182.4
2008-2009,Ararat Rural City Council,Grampians Central West ,2264.7,965.87,843.71,0.0,0.0,3230.5699999999997,843.71
2008-2009,Ballarat City Council,Grampians Central West ,17723.0,9800.0,9113.0,0.0,0.0,27523.0,9113.0
2008-2009,Banyule City Council,Metropolitan ,19086.0,15923.0,14562.0,8438.0,8438.0,43447.0,23000.0
2008-2009,Bass Coast Shire Council,Gippsland ,6233.0,3998.0,3198.0,0.0,0.0,10231.0,3198.0
2008-2009,Baw Baw Shire Council,Gippsland ,6492.5,3830.3201,3435.78,2500.0,2500.0,12822.8201,5935.780000000001
2008-2009,Bayside City Council,Metropolitan ,19360.0,12663.0,12284.0,7326.0,7326.0,39349.0,19610.0
2008-2009,Benalla Rural City Council,North East ,3352.3401,1466.22,1334.39,0.0,0.0,4818.5601,1334.39
2008-2009,Boroondara City Council,Metropolitan ,35722.6016,24772.4004,24184.0996,13816.5996,13816.5996,74311.6016,38000.6992
2008-2009,Brimbank City Council,Metropolitan ,36868.3398,17950.0,15222.0,6122.0,6122.0,60940.3398,21344.0
2008-2009,Buloke Shire Council,Loddon Mallee ,1806.452,778.36,718.7,0.0,0.0,2584.812,718.7
2008-2009,Campaspe Shire Council,Goulburn Valley ,8091.0,4119.0,3701.0,997.0,997.0,13207.0,4698.0
2008-2009,Cardinia Shire Council,Metropolitan ,13869.8604,6152.6699,5377.73,3068.0,3068.0,23090.5303,8445.73
2008-2009,Casey City Council,Metropolitan ,45873.0,28296.0,26052.0,22589.0,19329.0,96758.0,45381.0
2008-2009,Central Goldfields Shire Council,Grampians Central West ,2185.0,1021.0,969.9,100.0,100.0,3306.0,1069.9
2008-2009,Colac Otway Shire Council,Barwon South West ,4279.0,2300.0,2178.8,938.0,938.0,7517.0,3116.8
2008-2009,Corangamite Shire Council,Barwon South West ,2098.0,1086.9,979.3,1400.0,1400.0,4584.9,2379.3
2008-2009,Darebin City Council,Metropolitan ,27205.0,16074.5596,13266.3301,6964.2998,4879.0,50243.8594,18145.3301
2008-2009,East Gippsland Shire Council,Gippsland ,6200.0498,5201.0,3879.0,3078.55,3000.0,14479.5998,6879.0
2008-2009,Frankston City Council,Metropolitan ,21516.5605,17178.1191,15503.7305,8719.9902,8719.9902,47414.6698,24223.720699999998
2008-2009,Gannawarra Shire Council,Loddon Mallee ,2320.0,1294.0,1177.54,0.0,0.0,3614.0,1177.54
2008-2009,Glen Eira City Council,Metropolitan ,34778.0,14206.0,13531.0,3954.0,3954.0,52938.0,17485.0
2008-2009,Glenelg Shire Council,Barwon South West ,2774.52,2132.9299,1473.34,0.0,0.0,4907.4499,1473.34
2008-2009,Golden Plains Shire Council,Grampians Central West ,4668.0,945.02,859.0,0.0,0.0,5613.02,859.0
2008-2009,Greater Bendigo City Council,Loddon Mallee ,25158.0,10002.0,9370.0,0.0,0.0,35160.0,9370.0
2008-2009,Greater Dandenong City Council,Metropolitan ,26981.4004,12597.9902,10529.1201,13097.5,11949.9004,52676.8906,22479.0205
2008-2009,Greater Geelong City Council,Barwon South West ,39500.0,27199.0,24479.0,23314.0,23314.0,90013.0,47793.0
2008-2009,Greater Shepparton City Council,Goulburn Valley ,12261.0,6837.0,6688.54,4668.0,4596.0,23766.0,11284.54
2008-2009,Hepburn Shire Council,Grampians Central West ,1823.0,1479.1,1319.1,0.0,0.0,3302.1,1319.1
2008-2009,Hindmarsh Shire Council,Grampians Central West ,1380.0,882.8,836.4,0.0,0.0,2262.8,836.4
2008-2009,Hobsons Bay City Council,Metropolitan ,17039.9805,10577.1504,10249.5703,4481.0,4481.0,32098.130900000004,14730.5703
2008-2009,Horsham Rural City Council,Grampians Central West ,5005.0,1431.4,1152.74,0.0,0.0,6436.4,1152.74
2008-2009,Hume City Council,Metropolitan ,33400.0,15895.4004,13951.1904,3815.0,3815.0,53110.4004,17766.1904
2008-2009,Indigo Shire Council,North East ,2140.0,1226.2,1212.0,290.0,290.0,3656.2,1502.0
2008-2009,Kingston City Council,Metropolitan ,27552.0,16936.0,16089.2002,11526.5996,11526.5996,56014.5996,27615.7998
2008-2009,Knox City Council,Metropolitan ,25989.0,18045.0,17213.0,15240.0,15240.0,59274.0,32453.0
2008-2009,Latrobe City Council,Gippsland ,13590.0,8889.0,8000.0,8270.0,8270.0,30749.0,16270.0
2008-2009,Loddon Shire Council,Loddon Mallee ,1956.0,661.84,595.66,0.0,0.0,2617.84,595.66
2008-2009,Macedon Ranges Shire Council,Loddon Mallee ,6574.0,4222.5,3800.3,0.0,0.0,10796.5,3800.3
2008-2009,Manningham City Council,Metropolitan ,20826.1797,14071.6299,14071.6299,13606.5,13606.5,48504.3096,27678.1299
2008-2009,Mansfield Shire Council,North East ,2310.4099,1042.73,936.78,0.0,0.0,3353.1399,936.78
2008-2009,Maribyrnong City Council,Metropolitan ,16275.0,7625.0,6375.0,255.45,255.45,24155.45,6630.45
2008-2009,Maroondah City Council,Metropolitan ,18714.0,12858.0,12177.0,10594.0,10594.0,42166.0,22771.0
2008-2009,Melbourne City Council,Metropolitan ,22115.0,5367.4102,4830.6699,34.27,34.27,27516.680200000003,4864.9399
2008-2009,Melton Shire Council,Metropolitan ,17421.1602,9551.3203,8787.3203,2788.75,2788.75,29761.230499999998,11576.0703
2008-2009,Mildura Rural City Council,Loddon Mallee ,9466.2402,5071.1699,3778.3899,0.0,0.0,14537.410100000001,3778.3899
2008-2009,Mitchell Shire Council,Goulburn Valley ,5387.0,3337.0,2997.0,0.0,0.0,8724.0,2997.0
2008-2009,Moira Shire Council,Goulburn Valley ,4421.0,3208.8799,2791.8401,0.0,0.0,7629.8799,2791.8401
2008-2009,Monash City Council,Metropolitan ,25974.0,18322.0,18018.0,17463.0,17463.0,61759.0,35481.0
2008-2009,Moonee Valley City Council,Metropolitan ,22354.0,12149.0,10837.0,6270.0,6270.0,40773.0,17107.0
2008-2009,Moorabool Shire Council,Grampians Central West ,4268.0,2649.5,2534.28,0.0,0.0,6917.5,2534.28
2008-2009,Moreland City Council,Metropolitan ,28317.0,16376.0,14902.0,6173.0,6173.0,50866.0,21075.0
2008-2009,Mornington Peninsula Shire Council,Metropolitan ,25800.0,22678.0,20410.0,267.0,267.0,48745.0,20677.0
2008-2009,Mount Alexander Shire Council,Loddon Mallee ,2682.0,1978.6899,1879.76,0.0,0.0,4660.6899,1879.76
2008-2009,Moyne Shire Council,Barwon South West ,1752.6899,799.67,787.52,1100.0,0.0,3652.3599000000004,787.52
2008-2009,Murrindindi Shire Council,Goulburn Valley ,2133.0,1489.0,1430.0,0.0,0.0,3622.0,1430.0
2008-2009,Nillumbik Shire Council,Metropolitan ,7066.52,8102.8999,7454.6699,6113.6201,2998.0601,21283.04,10452.73
2008-2009,Northern Grampians Shire Council,Grampians Central West ,2877.0,1291.452,1076.21,0.0,0.0,4168.452,1076.21
2008-2009,Port Phillip City Council,Metropolitan ,19755.9609,12402.0,11335.0,0.0,0.0,32157.9609,11335.0
2008-2009,Pyrenees Shire Council,Grampians Central West ,970.0,435.28,396.0,0.0,0.0,1405.28,396.0
2008-2009,Queenscliffe Borough Council,Barwon South West ,1300.0,527.88,504.13,140.0,140.0,1967.88,644.13
2008-2009,South Gippsland Shire Council,Gippsland ,3720.98,1797.0,1714.34,0.0,0.0,5517.98,1714.34
2008-2009,Southern Grampians Shire Council,Barwon South West ,2040.0,1391.0,1336.0,0.0,0.0,3431.0,1336.0
2008-2009,Stonnington City Council,Metropolitan ,22684.0,12513.0,12086.0,3044.0,3044.0,38241.0,15130.0
2008-2009,Strathbogie Shire Council,Goulburn Valley ,1600.28,911.0,848.0,0.0,0.0,2511.2799999999997,848.0
2008-2009,Surf Coast Shire Council,Barwon South West ,4047.0,3919.78,3619.96,1841.0,1841.0,9807.78,5460.96
2008-2009,Swan Hill Rural City Council,Loddon Mallee ,3957.6699,4590.8501,4057.04,0.0,0.0,8548.52,4057.04
2008-2009,Towong Shire Council,North East ,1428.0,814.5,705.8,22.5,22.5,2265.0,728.3
2008-2009,Wangaratta Rural City Council,North East ,7226.5,2822.0,2474.0,0.0,0.0,10048.5,2474.0
2008-2009,Warrnambool City Council,Barwon South West ,5521.0698,4117.2002,3540.7,0.0,0.0,9638.27,3540.7
2008-2009,Wellington Shire Council,Gippsland ,6374.0,3614.3201,2819.1699,0.0,0.0,9988.3201,2819.1699
2008-2009,West Wimmera Shire Council,Grampians Central West ,996.1,459.0,452.7,0.0,0.0,1455.1,452.7
2008-2009,Whitehorse City Council,Metropolitan ,29531.0,19106.0,18342.0,7315.0,7315.0,55952.0,25657.0
2008-2009,Whittlesea City Council,Metropolitan ,29931.1504,14495.96,12918.5195,6265.3399,6265.3399,50692.4503,19183.8594
2008-2009,Wodonga City Council,North East ,7122.0,3303.8999,2981.7,1258.0,1258.0,11683.8999,4239.7
2008-2009,Wyndham City Council,Metropolitan ,27872.0,15212.0,14056.0,2604.0,2604.0,45688.0,16660.0
2008-2009,Yarra City Council,Metropolitan ,12515.0,9314.0,8518.0,188.0,188.0,22017.0,8706.0
2008-2009,Yarra Ranges Shire Council,Metropolitan ,26668.0,17144.4004,14782.5,4537.0,4537.0,48349.4004,19319.5
2008-2009,Yarriambiack Shire Council,Grampians Central West ,1883.52,643.7,632.2,0.0,0.0,2527.2200000000003,632.2
2009-2010,Alpine Shire Council,North East ,2304.0,1627.0,1181.2,0.0,0.0,3931.0,1181.2
2009-2010,Ararat Rural City Council,Grampians Central West ,1963.0,905.0,814.0,0.0,0.0,2868.0,814.0
2009-2010,Ballarat City Council,Grampians Central West ,19119.0,9742.5996,8814.5996,0.0,0.0,28861.5996,8814.5996
2009-2010,Banyule City Council,Metropolitan ,19900.0,15220.0,13919.0,9681.0,9681.0,44801.0,23600.0
2009-2010,Bass Coast Shire Council,Gippsland ,6675.0,4335.0,3485.0,0.0,0.0,11010.0,3485.0
2009-2010,Baw Baw Shire Council,Gippsland ,6684.4468,4091.78,3754.75,2952.28,2952.28,13728.506800000001,6707.030000000001
2009-2010,Bayside City Council,Metropolitan ,19300.0,13408.0,13408.0,8021.0,8021.0,40729.0,21429.0
2009-2010,Benalla Rural City Council,North East ,3558.29,1548.66,1378.0,0.0,0.0,5106.95,1378.0
2009-2010,Boroondara City Council,Metropolitan ,35899.0,23382.4004,23382.4004,15646.2,15646.2,74927.6004,39028.600399999996
2009-2010,Brimbank City Council,Metropolitan ,38896.0,17492.0,15043.0,6512.0,6512.0,62900.0,21555.0
2009-2010,Buloke Shire Council,Loddon Mallee ,1507.86,634.38,602.86,0.0,0.0,2142.24,602.86
2009-2010,Campaspe Shire Council,Goulburn Valley ,8617.0,4308.0,3828.0,997.0,997.0,13922.0,4825.0
2009-2010,Cardinia Shire Council,Metropolitan ,14835.2598,5764.3799,4521.2402,3886.0,3886.0,24485.6397,8407.2402
2009-2010,Casey City Council,Metropolitan ,46000.0,26298.0,22749.0,28207.4102,28207.0,100505.4102,50956.0
2009-2010,Central Goldfields Shire Council,Grampians Central West ,2365.0,1395.6,1325.8,100.0,100.0,3860.6,1425.8
2009-2010,Colac Otway Shire Council,Barwon South West ,5224.0,2623.98,2454.6101,1200.0,858.0,9047.98,3312.6101
2009-2010,Corangamite Shire Council,Barwon South West ,2174.0,1191.0,1084.08,1573.0,1573.0,4938.0,2657.08
2009-2010,Darebin City Council,Metropolitan ,25990.0,16172.0,13633.2998,8888.0,8888.0,51050.0,22521.2998
2009-2010,East Gippsland Shire Council,Gippsland ,6642.3501,5815.52,4387.6201,3455.6499,3455.6499,15913.52,7843.27
2009-2010,Frankston City Council,Metropolitan ,22560.2207,16392.4805,14795.8604,9715.1396,9715.1396,48667.840800000005,24511.0
2009-2010,Gannawarra Shire Council,Loddon Mallee ,2397.0,1340.0,1340.0,0.0,0.0,3737.0,1340.0
2009-2010,Glen Eira City Council,Metropolitan ,34191.7383,13916.1504,13498.6699,4119.6,4119.6,52227.488699999994,17618.2699
2009-2010,Glenelg Shire Council,Barwon South West ,2947.0,2057.25,1353.8,0.0,0.0,5004.25,1353.8
2009-2010,Golden Plains Shire Council,Grampians Central West ,4838.0,1126.0,1015.0,0.0,0.0,5964.0,1015.0
2009-2010,Greater Bendigo City Council,Loddon Mallee ,26122.0,10528.0,9629.0,0.0,0.0,36650.0,9629.0
2009-2010,Greater Dandenong City Council,Metropolitan ,27467.0,12611.0,12483.0,15394.0,14161.0,55472.0,26644.0
2009-2010,Greater Geelong City Council,Barwon South West ,39500.0,28156.0,25903.0,30962.0,30962.0,98618.0,56865.0
2009-2010,Greater Shepparton City Council,Goulburn Valley ,12572.0,6751.6099,6751.6099,5484.0,5270.0,24807.6099,12021.6099
2009-2010,Hepburn Shire Council,Grampians Central West ,2040.0,1636.0,1451.0,0.0,0.0,3676.0,1451.0
2009-2010,Hindmarsh Shire Council,Grampians Central West ,1452.0,704.232,687.21,0.0,0.0,2156.232,687.21
2009-2010,Hobsons Bay City Council,Metropolitan ,17530.2793,10591.4502,10263.4502,4701.3999,4701.3999,32823.1294,14964.8501
2009-2010,Horsham Rural City Council,Grampians Central West ,5346.0,1495.0,1163.0,0.0,0.0,6841.0,1163.0
2009-2010,Hume City Council,Metropolitan ,35200.0,15964.5996,13863.5,4535.0,4535.0,55699.5996,18398.5
2009-2010,Indigo Shire Council,North East ,2926.0,1038.5,1038.5,416.0,416.0,4380.5,1454.5
2009-2010,Kingston City Council,Metropolitan ,26487.0,17103.4004,16248.2002,13653.4004,13653.4004,57243.8008,29901.600599999998
2009-2010,Knox City Council,Metropolitan ,26454.0,17367.0,16420.0,17824.0003,17824.0003,61645.0003,34244.0003
2009-2010,Latrobe City Council,Gippsland ,13474.0,8754.0,7594.0,9866.0,9866.0,32094.0,17460.0
2009-2010,Loddon Shire Council,Loddon Mallee ,1208.0,679.0,679.0,0.0,0.0,1887.0,679.0
2009-2010,Macedon Ranges Shire Council,Loddon Mallee ,6934.0,4460.5,4014.3999,0.0,0.0,11394.5,4014.3999
2009-2010,Manningham City Council,Metropolitan ,21576.0,13015.3604,13015.3604,14485.4297,14485.4297,49076.7901,27500.7901
2009-2010,Mansfield Shire Council,North East ,2406.72,1023.07,901.44,0.0,0.0,3429.79,901.44
2009-2010,Maribyrnong City Council,Metropolitan ,22000.0,8185.0,6467.0,1200.0,1100.0,31385.0,7567.0
2009-2010,Maroondah City Council,Metropolitan ,19371.0,13044.0,12352.0,12125.0,12125.0,44540.0,24477.0
2009-2010,Melbourne City Council,Metropolitan ,23146.0,6866.4302,6184.0,40.06,40.06,30052.4902,6224.06
2009-2010,Melton Shire Council,Metropolitan ,19059.6191,10191.1396,9243.3604,3859.6001,3556.78,33110.3588,12800.1404
2009-2010,Mildura Rural City Council,Loddon Mallee ,9783.0,6528.3799,5436.0,0.0,0.0,16311.3799,5436.0
2009-2010,Mitchell Shire Council,Goulburn Valley ,5336.0,3221.5601,3005.9399,0.0,0.0,8557.5601,3005.9399
2009-2010,Moira Shire Council,Goulburn Valley ,7000.0,3441.3899,3441.3899,0.0,0.0,10441.3899,3441.3899
2009-2010,Monash City Council,Metropolitan ,26566.0,18509.0,18509.0,20334.0,20334.0,65409.0,38843.0
2009-2010,Moonee Valley City Council,Metropolitan ,22004.0,13792.0,12412.0,6849.0,6849.0,42645.0,19261.0
2009-2010,Moorabool Shire Council,Grampians Central West ,3022.0,2780.76,2669.53,0.0,0.0,5802.76,2669.53
2009-2010,Moreland City Council,Metropolitan ,28139.0,16447.6094,16447.6094,7571.0,7571.0,52157.6094,24018.6094
2009-2010,Mornington Peninsula Shire Council,Metropolitan ,27168.0,22958.0,22958.0,319.0,319.0,50445.0,23277.0
2009-2010,Mount Alexander Shire Council,Loddon Mallee ,3104.7,1584.25,1505.03,0.0,0.0,4688.95,1505.03
2009-2010,Moyne Shire Council,Barwon South West ,1529.25,886.0,806.0,1180.0,0.0,3595.25,806.0
2009-2010,Murrindindi Shire Council,Goulburn Valley ,2113.0,1403.0,1371.0,0.0,0.0,3516.0,1371.0
2009-2010,Nillumbik Shire Council,Metropolitan ,6362.2798,7757.3501,7136.0,6616.7598,0.0,20736.3897,7136.0
2009-2010,Northern Grampians Shire Council,Grampians Central West ,3004.75,914.0,822.0,0.0,0.0,3918.75,822.0
2009-2010,Port Phillip City Council,Metropolitan ,20104.0,12717.0,12373.0,0.0,0.0,32821.0,12373.0
2009-2010,Pyrenees Shire Council,Grampians Central West ,808.0,450.0,400.0,0.0,0.0,1258.0,400.0
2009-2010,Queenscliffe Borough Council,Barwon South West ,1300.0,550.64,550.64,70.0,70.0,1920.6399999999999,620.64
2009-2010,South Gippsland Shire Council,Gippsland ,3938.5,1819.5699,1674.0,0.0,0.0,5758.0699,1674.0
2009-2010,Southern Grampians Shire Council,Barwon South West ,2066.0,1544.0,1471.0,0.0,0.0,3610.0,1471.0
2009-2010,Stonnington City Council,Metropolitan ,21233.0,12506.0,12010.0,3441.0,3441.0,37180.0,15451.0
2009-2010,Strathbogie Shire Council,Goulburn Valley ,1840.0,1030.38,1030.38,0.0,0.0,2870.38,1030.38
2009-2010,Surf Coast Shire Council,Barwon South West ,5097.9399,4032.0,4032.0,2515.8,2515.8,11645.7399,6547.8
2009-2010,Swan Hill Rural City Council,Loddon Mallee ,3714.99,1853.0,1713.0,0.0,0.0,5567.99,1713.0
2009-2010,Towong Shire Council,North East ,1260.0,784.5,618.3,30.0,30.0,2074.5,648.3
2009-2010,Wangaratta Rural City Council,North East ,6527.5,3044.0,2739.0,0.0,0.0,9571.5,2739.0
2009-2010,Warrnambool City Council,Barwon South West ,6022.0,4099.0,3525.0,0.0,0.0,10121.0,3525.0
2009-2010,Wellington Shire Council,Gippsland ,6277.3301,4309.6699,3434.3799,0.0,0.0,10587.0,3434.3799
2009-2010,West Wimmera Shire Council,Grampians Central West ,960.2,485.96,482.31,0.0,0.0,1446.16,482.31
2009-2010,Whitehorse City Council,Metropolitan ,30799.0,19281.0,17507.9199,8388.0,8388.0,58468.0,25895.9199
2009-2010,Whittlesea City Council,Metropolitan ,32583.4004,15606.7998,14049.7998,8000.0,8000.0,56190.2002,22049.7998
