Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2004-2005,Wyndham City Council,Metropolitan ,23980.0,10760.0,9873.0,1868.0,1700.0,36608.0,11573.0
2004-2005,Yarra City Council,Metropolitan ,12990.0,8505.0,7778.0,234.0,234.0,21729.0,8012.0
2004-2005,Yarra Ranges Shire Council,Metropolitan ,27409.0,14256.0,9614.0,1329.0,1329.0,42994.0,10943.0
2004-2005,Yarriambiack Shire Council,Grampians Central West ,1736.0,0.0,0.0,0.0,0.0,1736.0,0.0
2005-2006,Alpine Shire Council,North East ,2263.28,1098.5,1008.5,0.0,0.0,3361.78,1008.5
2005-2006,Ararat Rural City Council,Grampians Central West ,2365.8401,435.6,363.6,0.0,0.0,2801.4401,363.6
2005-2006,Ballarat City Council,Grampians Central West ,17118.0,8208.0,7141.0,0.0,0.0,25326.0,7141.0
2005-2006,Banyule City Council,Metropolitan ,19374.0,14294.0,12636.0,9571.0,9571.0,43239.0,22207.0
2005-2006,Bass Coast Shire Council,Gippsland ,5520.54,3256.51,2560.51,0.0,0.0,8777.05,2560.51
2005-2006,Baw Baw Shire Council,Gippsland ,5800.0,3176.1001,2857.5,2321.0,2321.0,11297.1001,5178.5
2005-2006,Bayside City Council,Metropolitan ,19400.0,12600.0,11718.0,8454.0,8454.0,40454.0,20172.0
2005-2006,Benalla Rural City Council,North East ,3302.0,1376.96,1245.89,0.0,0.0,4678.96,1245.89
2005-2006,Boroondara City Council,Metropolitan ,36889.0,22904.3008,20636.8008,15453.0,15453.0,75246.3008,36089.8008
2005-2006,Brimbank City Council,Metropolitan ,37145.0,16020.0,13847.0,8606.0,8606.0,61771.0,22453.0
2005-2006,Buloke Shire Council,Loddon Mallee ,1747.0,655.34,537.38,0.0,0.0,2402.34,537.38
2005-2006,Campaspe Shire Council,Goulburn Valley ,8176.0,3724.0,3372.0,318.0,318.0,12218.0,3690.0
2005-2006,Cardinia Shire Council,Metropolitan ,13560.0,5681.27,4980.1899,50.0,50.0,19291.27,5030.1899
2005-2006,Casey City Council,Metropolitan ,38153.5391,22930.0,20327.5996,23905.3691,23905.3691,84988.9082,44232.9687
2005-2006,Central Goldfields Shire Council,Grampians Central West ,2340.0,548.9,517.7,76.0,76.0,2964.9,593.7
2005-2006,Colac Otway Shire Council,Barwon South West ,5368.0,1842.0,1676.0,1600.0,1600.0,8810.0,3276.0
2005-2006,Corangamite Shire Council,Barwon South West ,2682.25,631.05,616.49,662.62,636.9,3975.92,1253.3899999999999
2005-2006,Darebin City Council,Metropolitan ,24916.0,14524.0,12730.0,8289.0,8289.0,47729.0,21019.0
2005-2006,East Gippsland Shire Council,Gippsland ,8200.0,3999.28,3198.0,0.0,0.0,12199.28,3198.0
2005-2006,Frankston City Council,Metropolitan ,20356.0,15808.0,12705.0,7953.0,7953.0,44117.0,20658.0
2005-2006,Gannawarra Shire Council,Loddon Mallee ,2400.0,1264.9,974.9,0.0,0.0,3664.9,974.9
2005-2006,Glen Eira City Council,Metropolitan ,40052.0,11830.0,10647.0,2866.0,2866.0,54748.0,13513.0
2005-2006,Glenelg Shire Council,Barwon South West ,3087.0,1026.0,882.0,0.0,0.0,4113.0,882.0
2005-2006,Golden Plains Shire Council,Grampians Central West ,4164.0298,1021.9,929.8,0.0,0.0,5185.9298,929.8
